region,disasterNumber,sandyDisaster,disasterType,incidentType,declarationDate,stateAbbreviation,state,county,applicantName,pnpStatus,damageCategoryCode,federalShareObligated,dateObligated,pwNumber,projectTitle,versionNumber,id
4,4702,0,DR,Severe Storm,2023-04-10T00:00:00.000Z,KY,Kentucky,Boyle,BOYLE (COUNTY),0,E - Public Buildings,3750.00,2023-11-08T14:24:03.000Z,72,723800 - City Courthouse Roof Damage (Ins Deductible),0,6c83518c-736e-4650-b17d-4be5c5683a06
2,4488,0,DR,Biological,2020-03-25T00:00:00.000Z,NJ,New Jersey,Middlesex,MIDDLESEX (COUNTY),0,B - Protective Measures,-34720.53,2023-11-08T17:29:19.000Z,1348,669729 - Testing Site Expenses,1,97478c82-2883-4294-87f2-015807d93110
2,4614,0,DR,Hurricane,2021-09-05T00:00:00.000Z,NJ,New Jersey,Middlesex,EDISON (TOWNSHIP OF),0,E - Public Buildings,5812.97,2023-11-06T16:45:39.000Z,2003,"549755 - APP CERT, DPW Contents",0,7a8e7c21-90eb-460b-b19f-76ec1d3dda2b
2,4488,0,DR,Biological,2020-03-25T00:00:00.000Z,NJ,New Jersey,Middlesex,MONROE (TOWNSHIP OF),0,Z - State Management,8307.98,2023-11-08T21:56:23.000Z,2296,732228 - Management Costs,0,089f6ccc-585f-44e6-a971-d2a99525395e
2,4488,0,DR,Biological,2020-03-25T00:00:00.000Z,NJ,New Jersey,Middlesex,MILLTOWN,0,B - Protective Measures,28458.00,2023-11-08T21:58:46.000Z,2304,736410 - VMB1,0,f08452ac-ea67-46b1-80e3-5e574a34e981
5,4360,0,DR,Flood,2018-04-17T00:00:00.000Z,OH,Ohio,Adams,ADAMS COUNTY ENGINEER,0,C - Roads and Bridges,-33526.61,2023-11-09T14:17:23.000Z,683,45988 - Tater Knob Road,2,b883ff00-6d88-4172-be3d-99dcf62196ac
2,4671,0,DR,Hurricane,2022-09-21T00:00:00.000Z,PR,Puerto Rico,Gurabo,GURABO (MUNICIPIO),0,A - Debris Removal,177816.34,2023-11-07T15:38:57.000Z,1551,"698236 - SPA - Debris Removal - 90%-10% Cost Share - Contracts, FAL, FAE",0,137598a8-99a1-400b-8c22-8b4a83a64427
4,4712,0,DR,Severe Storm,2023-05-17T00:00:00.000Z,TN,Tennessee,Marion,SEQUACHEE VALLEY ELECTRIC,1,B - Protective Measures,39060.37,2023-11-08T19:13:57.000Z,53,725068 - Cat B - Emergency Protective Measures - Cut and Toss,0,4a15b9b9-7c9a-41b4-a4dd-1a21d66c239b
6,3530,0,EM,Hurricane,2020-07-26T00:00:00.000Z,TX,Texas,Statewide,TX DIVISION OF EMERGENCY MANAGEMENT,0,B - Protective Measures,19046.51,2023-11-08T19:21:56.000Z,2,154860 - Emergency Protective Measures,4,0822631a-7ace-41e5-9c5f-dd800a3ae762
6,4485,0,DR,Biological,2020-03-25T00:00:00.000Z,TX,Texas,Statewide,UNIVERSITY OF TEXAS - PAN AMERICAN,0,Z - State Management,349790.19,2023-11-07T19:00:54.000Z,1154,731364 - Management Costs,0,c0b0cb20-aa11-4528-93ac-4dde1c2053e8
6,4705,0,DR,Winter Storm,2023-04-21T00:00:00.000Z,TX,Texas,Statewide,LAMAR COUNTY ELECTRIC COOPERATIVE,1,Z - State Management,5801.51,2023-11-09T20:51:11.000Z,84,734544 - CAT Z - Direct/In-Direct Mgmt Costs,0,670e5db7-80ae-475e-bb8f-400786486fec
6,4611,0,DR,Hurricane,2021-08-29T00:00:00.000Z,LA,Louisiana,Orleans,NEW ORLEANS,0,E - Public Buildings,92323.63,2023-11-06T14:53:54.000Z,2710,676722 - CAT E-N.O.- (386) Tennis Ctr; (58 & 305) Playgrounds; (124) Natatorium; (132) Harrell NORD & (391) Taylor Pump House,0,4499aa6c-2219-410a-a9ab-49297ec3cd30
6,4611,0,DR,Hurricane,2021-08-29T00:00:00.000Z,LA,Louisiana,Orleans,DILLARD UNIVERSITY,1,E - Public Buildings,24174.00,2023-11-06T15:00:02.000Z,2676,665574 - Dillard University Cook Hall,0,734f4688-7fd0-4973-a39b-85522f4813ba
6,4611,0,DR,Hurricane,2021-08-29T00:00:00.000Z,LA,Louisiana,St. Bernard,ST BERNARD PORT HARBOR & TERMINAL DISTRICT,0,E - Public Buildings,108701.99,2023-11-06T14:56:57.000Z,2658,722287 - Roof Damages to Arabi Terminal Mechanics Shop,0,b1246fd0-626a-418b-8deb-a836dda6c5f6
6,4611,0,DR,Hurricane,2021-08-29T00:00:00.000Z,LA,Louisiana,St. Charles,ST. CHARLES (PARISH),0,F - Public Utilities,5520.97,2023-11-06T14:54:35.000Z,2699,729436 - 24M Waterworks W/B Intake Structure,0,8eb2a5ec-bba3-4017-8c3e-8fd98b3ce42f
6,4611,0,DR,Hurricane,2021-08-29T00:00:00.000Z,LA,Louisiana,St. Charles,LIFE FELLOWSHIP COMMUNITY CHURCH,1,Z - State Management,2575.00,2023-11-06T15:04:13.000Z,2708,735966 -  Management Costs,0,b6dd0aa9-afdf-4baa-abae-0f46a2ab40da
6,4611,0,DR,Hurricane,2021-08-29T00:00:00.000Z,LA,Louisiana,St. John the Baptist,ST. JOHN THE BAPTIST PARISH LIBRARY,0,B - Protective Measures,1016928.10,2023-11-06T15:10:21.000Z,898,677625 - Library Emergency Work-Content ONLY 100% cost share,1,3826c657-14c8-4d9b-b7bb-8862a48cf7d6
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Polk,WARNER UNIVERSITY,1,E - Public Buildings,45092.70,2023-11-06T16:24:07.000Z,1323,714296 - Raines Hall,0,8a45478e-a3a2-4a84-aa0f-d0b5e48670c8
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Polk,WARNER UNIVERSITY,1,E - Public Buildings,9035.24,2023-11-06T16:24:07.000Z,1334,714286 - Ratzlaff Administration Building,0,5ca3b6e7-f321-4dd8-996a-85b334a8505f
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Polk,WARNER UNIVERSITY,1,G - Recreational or Other,57417.40,2023-11-06T16:24:31.000Z,1346,714215 - Campus Sports Fields,0,0dcacabd-96c9-4ee4-ad92-9767e4ee8740
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Polk,AUBURNDALE,0,A - Debris Removal,238624.49,2023-11-09T18:16:53.000Z,1288,693052 - 100% Cost Share - Debris Removal Town- Wide,0,ca586443-e380-4bee-b6de-9a36e6c5dee4
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Polk,LAKE WALES,0,E - Public Buildings,9843.89,2023-11-09T13:36:56.000Z,1335,705714 - WWTP Admin Bldg,0,77783f71-94d3-499b-a86d-6fdf3469f09d
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Polk,DUNDEE,0,A - Debris Removal,31445.78,2023-11-09T13:39:35.000Z,1233,"702516 -  Debris Removal City-wide @ 100% cost share: Day 1-75, through 12/7/22",0,f8277c33-8607-43e5-a93c-018fea4ea50b
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Polk,WINTER HAVEN,0,B - Protective Measures,6207.69,2023-11-09T18:30:41.000Z,1242,705733 -EPM - Emergency Pumping beginning 12/8/22 and thereafter,0,3e65a8e8-f1a6-46d2-acdf-3d784a63d307
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Polk,WINTER HAVEN,0,G - Recreational or Other,7547.40,2023-11-09T18:36:21.000Z,1244,721476 - Sertoma Park Concession Stand/Restrooms,0,4561a944-9c6e-45bc-b282-73a7ccc35165
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Polk,WARNER UNIVERSITY,1,E - Public Buildings,11440.34,2023-11-09T18:40:23.000Z,1328,714301 - Agriculture Building,0,0f7ea5bc-0678-4255-bed0-961d9aac8597
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,St. Johns,GREATER ST MARY'S MISSIONARY BAPTIST CHURCH INC,1,Z - State Management,2192.07,2023-11-06T15:42:33.000Z,1382,735469 -  Management Cost,0,f9f63945-91c6-40b0-a68d-6cb2ddcfad5d
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,St. Johns,SAINT AUGUSTINE,0,B - Protective Measures,28180.59,2023-11-09T18:27:54.000Z,1194,702084 - City of St. Augustine PD Emergency Protective Measures,0,1795b310-ff50-4bd9-9566-6d371a4a1bb6
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,St. Johns,SAINT AUGUSTINE,0,A - Debris Removal,188132.69,2023-11-09T18:28:40.000Z,1277,702078 - City of St. Augustine Debris Removal,0,22d49c07-13a6-46fc-b614-d0bb20c4dcca
4,4680,0,DR,Hurricane,2022-12-13T00:00:00.000Z,FL,Florida,St. Johns,SAINT AUGUSTINE,0,B - Protective Measures,20915.84,2023-11-09T18:14:53.000Z,134,706503 - FD Emergency Protective Measures,0,5d3e0ca8-cc00-4101-adc7-f4a0c4a42d47
1,4496,0,DR,Biological,2020-03-27T00:00:00.000Z,MA,Massachusetts,Bristol,SOUTHCOAST HOSPITALS GROUP,1,B - Protective Measures,225025.60,2023-11-07T13:18:37.000Z,2223,704975 - Testing 4,0,1946c30a-09ae-419c-8aae-e7abf83516d3
1,4496,0,DR,Biological,2020-03-27T00:00:00.000Z,MA,Massachusetts,Bristol,"SOUTHCOAST PHYSICIANS GROUP, INC",1,B - Protective Measures,54220.91,2023-11-07T13:19:46.000Z,2226,704987 - Labor Other 2,0,e7c710e7-c25a-4f54-85dd-d0815590ccc3
1,4496,0,DR,Biological,2020-03-27T00:00:00.000Z,MA,Massachusetts,Suffolk,BOSTON PUBLIC HEALTH COMMISSION,0,B - Protective Measures,484254.00,2023-11-07T17:07:58.000Z,2220,713246 - Testing Sites Phase 9 (90%),0,882de3b6-25c9-4baa-99e0-94315a1a5cfa
1,4496,0,DR,Biological,2020-03-27T00:00:00.000Z,MA,Massachusetts,Suffolk,"DIMOCK COMMUNITY HEALTH CENTER, INC.",1,B - Protective Measures,107991.50,2023-11-07T17:08:28.000Z,1506,684190 - COVID-19 - Second Application,0,58a77193-d6e4-445b-847b-e1e3c03eef5d
1,4496,0,DR,Biological,2020-03-27T00:00:00.000Z,MA,Massachusetts,Suffolk,TRUSTEES OF BOSTON UNIVERSITY,1,B - Protective Measures,2222370.89,2023-11-08T14:51:20.000Z,1531,683903 - Trustees of Boston University Project 14,0,2dac83b0-dc4c-48a5-845c-1c95a8c6855b
1,4496,0,DR,Biological,2020-03-27T00:00:00.000Z,MA,Massachusetts,Worcester,"MILFORD REGIONAL MEDICAL CENTER, INC",1,B - Protective Measures,96066.46,2023-11-07T13:18:20.000Z,2192,730015 - Project 5,0,aeec2f19-fbf0-4132-b42a-ef81b488aa43
1,4496,0,DR,Biological,2020-03-27T00:00:00.000Z,MA,Massachusetts,Worcester,"SHRIVER NURSING SERVICES, INC. D/B/A FAMILY LIVES",1,B - Protective Measures,5526.06,2023-11-07T13:19:12.000Z,2209,724911 - COVID-19 IV,0,f1887660-0703-4704-be8f-4efb8de030da
1,4496,0,DR,Biological,2020-03-27T00:00:00.000Z,MA,Massachusetts,Worcester,BOYS & GIRLS CLUB OF FITCHBURG AND LEOMINSTER,1,B - Protective Measures,82666.57,2023-11-07T13:20:12.000Z,2200,693976 - BGCFL Covid Reimbursement,0,1c369df4-fc6a-4b73-b4f4-b6255945ca1c
1,4496,0,DR,Biological,2020-03-27T00:00:00.000Z,MA,Massachusetts,Worcester,AL-HAMRA ACADEMY,1,B - Protective Measures,22768.64,2023-11-07T13:20:41.000Z,1036,551599 - Health and Safety 2021,0,496096b4-587e-4fff-8fe6-4b73d3277091
3,4491,0,DR,Biological,2020-03-26T00:00:00.000Z,MD,Maryland,Baltimore,PIKESVILLE VOLUNTEER FIRE COMPANY,1,Z - State Management,-280.67,2023-11-06T13:22:03.000Z,595,141515 - Pikesville Volunteer Fire Company Management Cost,1,10af7424-ebbb-4e8b-9094-16e3858ad213
1,4522,0,DR,Biological,2020-04-04T00:00:00.000Z,ME,Maine,Statewide,MAINEHOUSING,0,B - Protective Measures,11224.54,2023-11-09T20:37:57.000Z,1308,728691 - Non-Congregate Shelter PNP Hotel Management for Facility 10 April 2023,0,d6ee7177-925d-42b3-8259-0f71d27f6c11
1,4522,0,DR,Biological,2020-04-04T00:00:00.000Z,ME,Maine,Statewide,MAINEHOUSING,0,B - Protective Measures,4769.69,2023-11-09T20:37:39.000Z,1312,728705 - Non-Congregate Shelter PNP Hotel Management for Facility 10 May 2023,0,cbe47659-0888-40ac-b87b-608dacfc6e05
9,4510,0,DR,Biological,2020-04-01T00:00:00.000Z,HI,Hawaii,Honolulu,KAPIOLANI MEDICAL CENTER FOR WOMEN AND CHILDREN,1,B - Protective Measures,21331.80,2023-11-11T00:09:10.000Z,98,691331 -  Kapiolani General March 2020 - June 2022,0,12d6eac4-7949-4f54-a411-c18c4aaa492a
5,4607,0,DR,Severe Storm,2021-07-15T00:00:00.000Z,MI,Michigan,Wayne,WAYNE (COUNTY),0,D - Water Control Facilities,65650.50,2023-11-09T17:53:28.000Z,101,661846 - County Catch Basins,0,d1825db6-ab91-4e0f-ac7b-fa7eca38565b
5,4531,0,DR,Biological,2020-04-07T00:00:00.000Z,MN,Minnesota,Statewide,MINNESOTA DEPARTMENT OF CORRECTIONS,0,B - Protective Measures,-21846.14,2023-11-06T15:53:59.000Z,220,158299 - FY20 Fund 1251,1,382845f1-1f50-40be-92ff-c6c3a3e640b3
5,4728,0,DR,Severe Storm,2023-08-15T00:00:00.000Z,IL,Illinois,Statewide,ILLINOIS DEPT. OF CORRECTIONS,0,B - Protective Measures,68678.59,2023-11-09T18:51:14.000Z,1,735566 - IL DOC Staff Time Overseeing Inmate Debris Operations,0,ca71e7af-9b81-4d7c-aa75-25786f075780
5,4489,0,DR,Biological,2020-03-26T00:00:00.000Z,IL,Illinois,Statewide,UNIVERSITY OF ILLINOIS - BOARD OF TRUSTEES,0,B - Protective Measures,4421645.22,2023-11-09T15:36:29.000Z,1723,677806 -  COVID-19 Testing University of Illinois Urbana-Champaign,0,26b116c7-3402-4636-9969-b53950c9fc04
5,4728,0,DR,Severe Storm,2023-08-15T00:00:00.000Z,IL,Illinois,McDonough,BLANDINSVILLE-HIRE FIRE PROTECTION DISTRICT,0,B - Protective Measures,12534.90,2023-11-09T18:51:00.000Z,2,736433 - Blandinsville-Hire FPD Emergency Response Operations,0,014a56a2-e67c-4783-bc08-3c80149019d3
6,4721,0,DR,Severe Storm,2023-07-19T00:00:00.000Z,OK,Oklahoma,Statewide,CIMARRON ELECTRIC COOPERATIVE,1,F - Public Utilities,42721.22,2023-11-09T21:25:59.000Z,1,730547 - Cimarron Electric Cooperative - Damaged Electrical System,0,098e6374-6bb8-4c42-bc39-1f1bd616d8a4
6,4721,0,DR,Severe Storm,2023-07-19T00:00:00.000Z,OK,Oklahoma,Statewide,"NORTHEAST OKLAHOMA ELECTRIC COOPERATIVE, INC.",1,F - Public Utilities,37620.65,2023-11-09T21:24:31.000Z,4,732710 - NOEC - Electric System Damages (Rogers County),0,76f328ac-e9af-4600-9283-1e656ee2986f
8,4718,0,DR,Flood,2023-07-06T00:00:00.000Z,SD,South Dakota,Roberts,ROBERTS (COUNTY),0,C - Roads and Bridges,105458.78,2023-11-08T17:50:59.000Z,65,730659 - Roberts County Bridge,0,63dbe4ac-b504-49e4-bb36-feb90e3e70f9
8,4718,0,DR,Flood,2023-07-06T00:00:00.000Z,SD,South Dakota,Roberts,LEE (TOWNSHIP OF),0,C - Roads and Bridges,30080.09,2023-11-08T17:58:28.000Z,57,729661 - Lee Township road and culverts damages,0,fc330d8d-e01f-49a7-9c03-793a3d6148ac
8,4718,0,DR,Flood,2023-07-06T00:00:00.000Z,SD,South Dakota,Roberts,BECKER (TOWNSHIP OF),0,C - Roads and Bridges,39581.98,2023-11-08T17:48:34.000Z,25,728958 - Township-Wide Road/ Culvert damage,0,aa7515bd-8275-493a-9281-073cfda6d4ee
8,4718,0,DR,Flood,2023-07-06T00:00:00.000Z,SD,South Dakota,Roberts,SISSETON INDIAN RESERVATION (ALSO ND),0,C - Roads and Bridges,400137.68,2023-11-08T17:52:04.000Z,64,732120 - Work to be Complete Roads - Reservation Wide,0,4cbafd7f-a231-48d2-a59a-f4ade664bfaf
8,4718,0,DR,Flood,2023-07-06T00:00:00.000Z,SD,South Dakota,Roberts,LAKE (TOWNSHIP OF),0,C - Roads and Bridges,29478.98,2023-11-08T17:59:47.000Z,60,730062 - Culvert Damage,0,9b656d17-7e05-4067-b176-8afda07f58d7
8,4717,0,DR,Flood,2023-07-05T00:00:00.000Z,ND,North Dakota,Grand Forks,GRAND FORKS (COUNTY),0,C - Roads and Bridges,4836.06,2023-11-08T20:57:43.000Z,18,735640 - Grand Forks County-Loretta Township-Work Completed,0,aca5de80-0ebd-400f-8391-176d2c095b16
8,4717,0,DR,Flood,2023-07-05T00:00:00.000Z,ND,North Dakota,Grand Forks,GRAND FORKS (COUNTY),0,C - Roads and Bridges,23666.70,2023-11-08T21:49:00.000Z,9,732194 - Grand Forks County- Northwood Twp-WC,0,5b69662a-c690-4eba-9c75-83baee7bd600
8,4717,0,DR,Flood,2023-07-05T00:00:00.000Z,ND,North Dakota,Grand Forks,GRAND FORKS (COUNTY),0,C - Roads and Bridges,21490.35,2023-11-08T21:51:44.000Z,11,"731029 - Grand Forks County-Washington Twp, Strabane Twp, Mekinock Twp, Americus Twp, Allendale Twp-Work Completed",0,73ed87ab-5d4c-4075-b79a-c234348f9d53
8,4717,0,DR,Flood,2023-07-05T00:00:00.000Z,ND,North Dakota,Grand Forks,GRAND FORKS (COUNTY),0,C - Roads and Bridges,6440.25,2023-11-08T21:48:28.000Z,13,735095 - Grand forks County-Johnstown Township-14 Sites-Work Completed,0,79780f89-6e58-46e4-83c7-a0618b8b2566
10,5369,0,FM,Fire,2020-09-10T00:00:00.000Z,OR,Oregon,Josephine,ILLINOIS VALLEY FIRE PROTECTION DIST.,0,H - Fire Management,40582.54,2023-11-08T17:44:18.000Z,1,IVFD Slater Fire-ODF-Fire Suppression,0,56755e0e-9f16-40bd-9ef3-2474f1ddf6a6
10,4432,0,DR,Severe Storm,2019-05-02T00:00:00.000Z,OR,Oregon,Lane,LANE (COUNTY),0,A - Debris Removal,109526.30,2023-11-08T22:33:42.000Z,104,107132 - PAAP Debris Removal - Countywide,1,89b3b4de-a992-4f11-8c93-cac3b5ed5f92
2,4340,0,DR,Hurricane,2017-09-20T00:00:00.000Z,VI,Virgin Islands of the U.S.,Statewide,"V.I. DEPARTMENT OF SPORTS, PARKS AND RECREATION",0,Z - State Management,-532.05,2023-11-09T14:54:51.000Z,806,116705 - TMUO999 - SPORTS PARKS REC - STT - CAT Z,4,a5ec86fa-76ef-4331-a784-15446f8d9120
2,4340,0,DR,Hurricane,2017-09-20T00:00:00.000Z,VI,Virgin Islands of the U.S.,Statewide,GOVERNOR JUAN F. LUIS HOSPITAL,0,B - Protective Measures,2476655.91,2023-11-09T15:49:29.000Z,1416,99055 - XMUAA31 - GM99055 - Lease and Move JFL Outpatient Dialysis Services to a Temp Hardened Dialysis Facility,0,8dc0d154-6348-42b6-9ce0-be68c20e85f2
1,4621,0,DR,Flood,2021-09-29T00:00:00.000Z,VT,Vermont,Bennington,MANCHESTER (TOWN OF),0,C - Roads and Bridges,200336.89,2023-11-06T21:32:35.000Z,70,673817 - Bentley Hill Rd Culvert - Upper / West- Permanent Upsize,0,b06e007e-b6d0-4271-bb3b-7e592c13a968
1,4532,0,DR,Biological,2020-04-08T00:00:00.000Z,VT,Vermont,Chittenden,UNIVERSITY OF VERMONT MEDICAL CENTER,1,B - Protective Measures,251198.39,2023-11-07T17:22:44.000Z,282,726773 - FINAL PPE Storage and Disposition,0,fa3b01f7-977a-4620-b325-34fd98724446
1,4695,0,DR,Severe Storm,2023-03-20T00:00:00.000Z,VT,Vermont,Orleans,BARTON,0,Z - State Management,1876.75,2023-11-07T16:39:31.000Z,26,723047 - Management Costs,0,ff615cb7-7f57-4117-b36c-f7b64982b932
10,4481,0,DR,Biological,2020-03-22T00:00:00.000Z,WA,Washington,King,KING (COUNTY),0,B - Protective Measures,21570368.35,2023-11-08T00:28:27.000Z,1234,692793 - King County Non-Congregate Shelters 2021,0,603532cc-6bcc-492d-8f16-a0e652acf26e
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Broward,MIRAMAR,0,B - Protective Measures,29035.63,2023-11-06T15:48:14.000Z,573,703245 - 100%'SPA-DR4673-FL-City of Miramar Citywide-EPM,0,d72d34d6-ba6b-4c45-b49a-f2953b6566db
4,4337,0,DR,Hurricane,2017-09-10T00:00:00.000Z,FL,Florida,Broward,DANIA,0,A - Debris Removal,-0.01,2023-11-06T12:59:43.000Z,6267,08836 - Debris (90%) 9/18/17 - 10/17/17,2,8de27ec0-ccd2-4e41-96b3-36bcf5082882
4,4337,0,DR,Hurricane,2017-09-10T00:00:00.000Z,FL,Florida,Broward,PLANTATION,0,A - Debris Removal,-57589.67,2023-11-06T13:02:54.000Z,5743,32033 - CAT. A- 75% PAAP,3,82097263-10b4-45f2-a3c3-6bc7b37d79ae
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Hillsborough,HILLSBOROUGH COUNTY PUBLIC SCHOOLS,0,E - Public Buildings,126830.34,2023-11-09T18:40:23.000Z,1230,708479 - Fencing for school grounds,0,e841b789-9495-4d63-9eee-a72c930f06b9
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Miami-Dade,BAY HARBOR ISLANDS,0,Z - State Management,9465.04,2023-11-09T18:39:48.000Z,1460,703954 - Town of Bay Harbor Islands - Management Costs,0,c102332d-2b34-49e6-9634-bf2e6abaf8c2
4,4337,0,DR,Hurricane,2017-09-10T00:00:00.000Z,FL,Florida,Miami-Dade,PINECREST,0,A - Debris Removal,-0.01,2023-11-06T13:00:36.000Z,4857,37543 - JDM1 - Debris Removal period 4 (12/17/17 to 03,2,fca4f092-bccd-4451-8f3a-0a11daba3042
4,4337,0,DR,Hurricane,2017-09-10T00:00:00.000Z,FL,Florida,Miami-Dade,MIAMI-DADE (COUNTY),0,B - Protective Measures,-232164.04,2023-11-06T13:01:20.000Z,145,07542 - Fire Rescue/OEM/Medical Management Facilities (MMF) Program,1,b771b6e0-45eb-452d-b0d0-c36cbed1397e
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,WINTER PARK,0,G - Recreational or Other,7375.50,2023-11-06T15:45:42.000Z,1354,706958 - Winter Park lake signage.,0,de5fb8d5-8c0a-4a5b-95db-1d5619fbbd63
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,ORLANDO,0,E - Public Buildings,18870.39,2023-11-09T13:34:35.000Z,1348,730872 - Streets and Stormwater Division - Bldg 1020 S. Wood Ave - Awning and Downspouts Damages,0,7ee3ce44-24d8-4fbb-b516-4f4a314b4e43
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,GRAND AVE ECONOMIC COMM DEVELOP CORP.,1,B - Protective Measures,17267.23,2023-11-08T19:35:11.000Z,1408,704451 - Grand Avenue Economic Community Development Corp 100% Cost Share,0,ccc2e246-a0e7-4103-bc55-c7665d68b581
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,ORLANDO,0,A - Debris Removal,4387.50,2023-11-09T13:35:12.000Z,1376,708322 - City of Orlando - Greenwood Cemetary - Hazardous Vegetative Debris Removal - 75% Cost Share,0,bbe40439-de8f-4db7-92da-60b977a8bbc0
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,ORLANDO,0,F - Public Utilities,138485.70,2023-11-09T13:36:10.000Z,1423,708079 - City of Orlando - 24 inch Sanitary Sewer Force Main E. Colonial Drive,0,04051589-154f-461e-8f36-fec59a10f3c4
